Vtit	Abs	pH
0,00	0,042	1,82
0,50	0,038	1,85
1,00	0,032	1,87
1,50	0,029	1,90
2,00	0,030	1,92
2,50	0,030	1,93
3,00	0,036	1,98
3,50	0,035	2,01
4,00	0,044	2,05
4,50	0,039	2,09
5,00	0,036	2,13
5,50	0,039	2,17
6,00	0,046	2,22
6,50	0,051	2,28
7,00	0,045	2,34
7,50	0,045	2,41
8,00	0,047	2,50
8,50	0,046	2,60
9,00	0,054	2,74
9,50	0,067	2,95
10,00	0,119	3,36
10,10	0,187	3,55
10,20	0,264	3,80
10,30	0,437	4,25
10,40	0,665	5,54
10,50	0,674	5,68
11,00	0,673	8,70
11,50	0,661	10,68
12,00	0,652	10,95
12,50	0,655	11,12
13,00	0,650	11,23
