Vtit;pH;
0,00;1,67;
2,00;1,74;
3,95;1,83;
6,00;1,92;
8,00;2,03;
10,05;2,13;
12,00;2,26;
14,00;2,41;
16,05;2,60;
16,50;2,66;
17,00;2,72;
17,50;2,78;
18,00;2,85;
18,50;2,94;
19,00;3,06;
19,20;3,09;
19,40;3,14;
19,50;3,18;
19,70;3,25;
19,90;3,32;
20,10;3,37;
20,25;3,45;
20,40;3,54;
20,50;3,64;
20,70;3,75;
20,80;3,98;
20,90;4,08;
21,10;4,33;
21,30;4,80;
21,50;5,12;
21,60;5,25;
21,80;5,41;
22,00;5,51;
22,10;5,58;
22,30;5,67;
22,50;5,75;
23,00;5,89;
24,00;6,12;
26,00;6,40;
28,00;6,61;
30,00;6,79;
32,00;6,95;
33,95;7,12;
36,00;7,30;
38,00;7,50;
38,20;7,53;
38,40;7,54;
38,50;7,56;
38,70;7,58;
38,85;7,60;
38,95;7,62;
39,10;7,63;
39,20;7,65;
39,40;7,67;
39,50;7,69;
39,65;7,71;
39,80;7,73;
39,90;7,74;
40,00;7,76;
40,10;7,78;
40,30;7,81;
40,50;7,84;
40,60;7,87;
40,80;7,91;
41,00;7,95;
41,20;7,98;
41,40;8,03;
41,60;8,09;
41,70;8,13;
41,90;8,17;
42,00;8,21;
42,10;8,26;
42,30;8,32;
42,40;8,38;
42,50;8,45;
42,70;8,53;
42,90;8,68;
43,05;8,80;
43,20;8,95;
43,30;9,12;
43,45;9,28;
43,60;9,45;
43,75;9,60;
44,00;9,80;
44,10;9,92;
44,20;10,02;
44,45;10,16;
44,60;10,23;
44,80;10,31;
44,90;10,37;
45,00;10,43;
45,15;10,49;
45,40;10,57;
46,20;10,81;
46,95;10,97;
48,10;11,14;
49,00;11,25;
50,00;11,34;
